#This allows easy configuration of the number of positions allowed for each job
#Format is: [Job name]=[total positions],[spawn positions]
#Job names must be identical to the title var of each job datum
#Positions can be set to -1 to allow unlimited slots
Captain=1,1
Head of Personnel=1,1
Head of Security=1,1
Chief Engineer=1,1
Research Director=1,1
Chief Medical Officer=1,1

Assistant=0,1

Quartermaster=1,1
Cargo Technician=2,2
Shaft Miner=3,3

Bartender=1,1
Cook=1,1
Botanist=2,2
Janitor=1,1

Clown=1,1
Mime=1,1
Librarian=0,1
Lawyer=1,1

Chaplain=1,1

Station Engineer=4,4
Atmospheric Technician=1,1

Medical Doctor=4,4
Chemist=1,1
Geneticist=0,1
Virologist=0,1

Scientist=4,4
Roboticist=1,1

Warden=1,1
Detective=1,1
Security Officer=4,-1

AI=0,1
Cyborg=0,1
